"分析變數","最佳累積提升","累積提升","最佳累積回應百分比","累積回應百分比","最佳累積擷取的回應百分比","累積擷取的回應百分比","資料角色","深度","事件","最佳增益","增益","最佳提升","提升","最佳事件數目","事件數量","觀測數目","分割指標","最佳回應百分比","回應百分比","最佳擷取的回應百分比","擷取的回應百分比","目標名稱","值","有格式的分割"
"P_Label1","","","","","0","0","VALIDATE","0","           1","","","","","0","0","0","0","","","0","0","Label","0","           0"
"P_Label1","2.5806","2.5806","100","100","12.9032","12.9032","VALIDATE","5","           1","1.5806","1.5806","2.5806","2.5806","4","4","4","0","100","100","12.9032","12.9032","Label","0.7729","           0"
"P_Label1","2.5806","1.9355","100","75","25.8065","19.3548","VALIDATE","10","           1","1.5806","0.9355","2.5806","1.2903","4","2","4","0","100","50","12.9032","6.4516","Label","0.7606","           0"
"P_Label1","2.3656","1.7204","100","72.7273","35.4839","25.8065","VALIDATE","15","           1","1.3656","0.7204","1.9355","1.2903","3","2","3","0","100","66.6667","9.6774","6.4516","Label","0.7159","           0"
"P_Label1","2.2581","1.6129","100","71.4286","45.1613","32.2581","VALIDATE","20","           1","1.2581","0.6129","1.9355","1.2903","3","2","3","0","100","66.6667","9.6774","6.4516","Label","0.6865","           0"
"P_Label1","2.1935","1.5484","100","70.5882","54.8387","38.7097","VALIDATE","25","           1","1.1935","0.5484","1.9355","1.2903","3","2","3","0","100","66.6667","9.6774","6.4516","Label","0.6704","           0"
"P_Label1","2.1505","1.2903","100","60","64.5161","38.7097","VALIDATE","30","           1","1.1505","0.2903","1.9355","0","3","0","3","0","100","0","9.6774","0","Label","0.6432","           0"
"P_Label1","2.1198","1.2903","100","60.8696","74.1935","45.1613","VALIDATE","35","           1","1.1198","0.2903","1.9355","1.2903","3","2","3","0","100","66.6667","9.6774","6.4516","Label","0.5946","           0"
"P_Label1","2.0968","1.2097","100","57.6923","83.8710","48.3871","VALIDATE","40","           1","1.0968","0.2097","1.9355","0.6452","3","1","3","0","100","33.3333","9.6774","3.2258","Label","0.5759","           0"
"P_Label1","2.0789","1.2903","100","62.0690","93.5484","58.0645","VALIDATE","45","           1","1.0789","0.2903","1.9355","1.9355","3","3","3","0","100","100","9.6774","9.6774","Label","0.5630","           0"
"P_Label1","2","1.2903","96.8750","62.5000","100","64.5161","VALIDATE","50","           1","1","0.2903","1.2903","1.2903","2","2","3","0","66.6667","66.6667","6.4516","6.4516","Label","0.5095","           0"
"P_Label1","1.8182","1.3490","86.1111","63.8889","100","74.1935","VALIDATE","55","           1","0.8182","0.3490","0","1.9355","0","3","4","0","0","75","0","9.6774","Label","0.4613","           0"
"P_Label1","1.6667","1.2903","79.4872","61.5385","100","77.4194","VALIDATE","60","           1","0.6667","0.2903","0","0.6452","0","1","3","0","0","33.3333","0","3.2258","Label","0.4507","           0"
"P_Label1","1.5385","1.2903","73.8095","61.9048","100","83.8710","VALIDATE","65","           1","0.5385","0.2903","0","1.2903","0","2","3","0","0","66.6667","0","6.4516","Label","0.4425","           0"
"P_Label1","1.4286","1.1982","68.8889","57.7778","100","83.8710","VALIDATE","70","           1","0.4286","0.1982","0","0","0","0","3","0","0","0","0","0","Label","0.4101","           0"
"P_Label1","1.3333","1.1613","64.5833","56.2500","100","87.0968","VALIDATE","75","           1","0.3333","0.1613","0","0.6452","0","1","3","0","0","33.3333","0","3.2258","Label","0.3844","           0"
"P_Label1","1.2500","1.1694","60.7843","56.8627","100","93.5484","VALIDATE","80","           1","0.2500","0.1694","0","1.2903","0","2","3","0","0","66.6667","0","6.4516","Label","0.3641","           0"
"P_Label1","1.1765","1.1385","57.4074","55.5556","100","96.7742","VALIDATE","85","           1","0.1765","0.1385","0","0.6452","0","1","3","0","0","33.3333","0","3.2258","Label","0.3498","           0"
"P_Label1","1.1111","1.0753","54.3860","52.6316","100","96.7742","VALIDATE","90","           1","0.1111","0.0753","0","0","0","0","3","0","0","0","0","0","Label","0.3028","           0"
"P_Label1","1.0526","1.0187","51.6667","50","100","96.7742","VALIDATE","95","           1","0.0526","0.0187","0","0","0","0","3","0","0","0","0","0","Label","0.2717","           0"
"P_Label1","1","1","50","50","100","100","VALIDATE","100","           1","0","0","0","0.6452","0","1","2","0","0","50","0","3.2258","Label","0.1596","           0"
"P_Label1","","","","","0","0","TRAIN","0","           1","","","","","0","0","0","1","","","0","0","Label","0","           1"
"P_Label1","2.2222","2.2222","100","100","11.1111","11.1111","TRAIN","5","           1","1.2222","1.2222","2.2222","2.2222","7","7","7","1","100","100","11.1111","11.1111","Label","0.8248","           1"
"P_Label1","2.2222","2.2222","100","100","22.2222","22.2222","TRAIN","10","           1","1.2222","1.2222","2.2222","2.2222","7","7","7","1","100","100","11.1111","11.1111","Label","0.8027","           1"
"P_Label1","2.1164","2.1164","100","100","31.7460","31.7460","TRAIN","15","           1","1.1164","1.1164","1.9048","1.9048","6","6","6","1","100","100","9.5238","9.5238","Label","0.7885","           1"
"P_Label1","2.1429","2.1429","100","100","42.8571","42.8571","TRAIN","20","           1","1.1429","1.1429","2.2222","2.2222","7","7","7","1","100","100","11.1111","11.1111","Label","0.7797","           1"
"P_Label1","2.0952","2.0952","100","100","52.3810","52.3810","TRAIN","25","           1","1.0952","1.0952","1.9048","1.9048","6","6","6","1","100","100","9.5238","9.5238","Label","0.7693","           1"
"P_Label1","2.0635","2.0635","100","100","61.9048","61.9048","TRAIN","30","           1","1.0635","1.0635","1.9048","1.9048","6","6","6","1","100","100","9.5238","9.5238","Label","0.7507","           1"
"P_Label1","2.0862","2.0862","100","100","73.0159","73.0159","TRAIN","35","           1","1.0862","1.0862","2.2222","2.2222","7","7","7","1","100","100","11.1111","11.1111","Label","0.7271","           1"
"P_Label1","2.0635","2.0635","100","100","82.5397","82.5397","TRAIN","40","           1","1.0635","1.0635","1.9048","1.9048","6","6","6","1","100","100","9.5238","9.5238","Label","0.6815","           1"
"P_Label1","2.0459","2.0459","100","100","92.0635","92.0635","TRAIN","45","           1","1.0459","1.0459","1.9048","1.9048","6","6","6","1","100","100","9.5238","9.5238","Label","0.6474","           1"
"P_Label1","2","2","98.4375","98.4375","100","100","TRAIN","50","           1","1","1","1.5873","1.5873","5","5","6","1","83.3333","83.3333","7.9365","7.9365","Label","0.4414","           1"
"P_Label1","1.8182","1.8182","88.7324","88.7324","100","100","TRAIN","55","           1","0.8182","0.8182","0","0","0","0","7","1","0","0","0","0","Label","0.3632","           1"
"P_Label1","1.6667","1.6667","81.8182","81.8182","100","100","TRAIN","60","           1","0.6667","0.6667","0","0","0","0","6","1","0","0","0","0","Label","0.3066","           1"
"P_Label1","1.5385","1.5385","75.9036","75.9036","100","100","TRAIN","65","           1","0.5385","0.5385","0","0","0","0","6","1","0","0","0","0","Label","0.2867","           1"
"P_Label1","1.4286","1.4286","70","70","100","100","TRAIN","70","           1","0.4286","0.4286","0","0","0","0","7","1","0","0","0","0","Label","0.2385","           1"
"P_Label1","1.3333","1.3333","65.6250","65.6250","100","100","TRAIN","75","           1","0.3333","0.3333","0","0","0","0","6","1","0","0","0","0","Label","0.2175","           1"
"P_Label1","1.2500","1.2500","61.7647","61.7647","100","100","TRAIN","80","           1","0.2500","0.2500","0","0","0","0","6","1","0","0","0","0","Label","0.2041","           1"
"P_Label1","1.1765","1.1765","57.7982","57.7982","100","100","TRAIN","85","           1","0.1765","0.1765","0","0","0","0","7","1","0","0","0","0","Label","0.1850","           1"
"P_Label1","1.1111","1.1111","54.7826","54.7826","100","100","TRAIN","90","           1","0.1111","0.1111","0","0","0","0","6","1","0","0","0","0","Label","0.1800","           1"
"P_Label1","1.0526","1.0526","52.0661","52.0661","100","100","TRAIN","95","           1","0.0526","0.0526","0","0","0","0","6","1","0","0","0","0","Label","0.1653","           1"
"P_Label1","1","1","50","50","100","100","TRAIN","100","           1","0","0","0","0","0","0","5","1","0","0","0","0","Label","0.1481","           1"
"P_Label1","","","","","0","0","TEST","0","           1","","","","","0","0","0","2","","","0","0","Label","0","           2"
"P_Label1","2","2","100","100","10","10","TEST","5","           1","1","1","2","2","1","1","1","2","100","100","10","10","Label","0.8347","           2"
"P_Label1","2","2","100","100","20","20","TEST","10","           1","1","1","2","2","1","1","1","2","100","100","10","10","Label","0.7824","           2"
"P_Label1","2","1.3333","100","66.6667","30","20","TEST","15","           1","1","0.3333","2","0","1","0","1","2","100","0","10","0","Label","0.7761","           2"
"P_Label1","2","1.5000","100","75","40","30","TEST","20","           1","1","0.5000","2","2","1","1","1","2","100","100","10","10","Label","0.7610","           2"
"P_Label1","2","1.6000","100","80","50","40","TEST","25","           1","1","0.6000","2","2","1","1","1","2","100","100","10","10","Label","0.7328","           2"
"P_Label1","2","1.6667","100","83.3333","60","50","TEST","30","           1","1","0.6667","2","2","1","1","1","2","100","100","10","10","Label","0.5891","           2"
"P_Label1","2","1.7143","100","85.7143","70","60","TEST","35","           1","1","0.7143","2","2","1","1","1","2","100","100","10","10","Label","0.5794","           2"
"P_Label1","2","1.7500","100","87.5000","80","70","TEST","40","           1","1","0.7500","2","2","1","1","1","2","100","100","10","10","Label","0.5425","           2"
"P_Label1","2","1.7778","100","88.8889","90","80","TEST","45","           1","1","0.7778","2","2","1","1","1","2","100","100","10","10","Label","0.5289","           2"
"P_Label1","2","1.8000","100","90","100","90","TEST","50","           1","1","0.8000","2","2","1","1","1","2","100","100","10","10","Label","0.4645","           2"
"P_Label1","1.8182","1.6364","90.9091","81.8182","100","90","TEST","55","           1","0.8182","0.6364","0","0","0","0","1","2","0","0","0","0","Label","0.4614","           2"
"P_Label1","1.6667","1.5000","83.3333","75","100","90","TEST","60","           1","0.6667","0.5000","0","0","0","0","1","2","0","0","0","0","Label","0.4352","           2"
"P_Label1","1.5385","1.3846","76.9231","69.2308","100","90","TEST","65","           1","0.5385","0.3846","0","0","0","0","1","2","0","0","0","0","Label","0.4346","           2"
"P_Label1","1.4286","1.2857","71.4286","64.2857","100","90","TEST","70","           1","0.4286","0.2857","0","0","0","0","1","2","0","0","0","0","Label","0.3887","           2"
"P_Label1","1.3333","1.3333","66.6667","66.6667","100","100","TEST","75","           1","0.3333","0.3333","0","2","0","1","1","2","0","100","0","10","Label","0.3509","           2"
"P_Label1","1.2500","1.2500","62.5000","62.5000","100","100","TEST","80","           1","0.2500","0.2500","0","0","0","0","1","2","0","0","0","0","Label","0.3389","           2"
"P_Label1","1.1765","1.1765","58.8235","58.8235","100","100","TEST","85","           1","0.1765","0.1765","0","0","0","0","1","2","0","0","0","0","Label","0.3230","           2"
"P_Label1","1.1111","1.1111","55.5556","55.5556","100","100","TEST","90","           1","0.1111","0.1111","0","0","0","0","1","2","0","0","0","0","Label","0.3085","           2"
"P_Label1","1.0526","1.0526","52.6316","52.6316","100","100","TEST","95","           1","0.0526","0.0526","0","0","0","0","1","2","0","0","0","0","Label","0.1718","           2"
"P_Label1","1","1","50","50","100","100","TEST","100","           1","0","0","0","0","0","0","1","2","0","0","0","0","Label","0.1718","           2"
