"準確度","分析變數","截止值","資料角色","事件","F1 評分","偽發現率","F0.5 評分","偽陰性率","偽陰性","偽陽性率","偽陽性","ROC 區隔","KS (Youden)","誤分類率 (事件)","1 - 特異度","分割指標","敏感度","特異度","真陰性","真陽性","目標名稱","有格式的分割"
"0.5000","P_Label1","0","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.0100","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.0200","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.0300","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.0400","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.0500","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.0600","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.0700","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.0800","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.0900","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.1000","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.1100","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.1200","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.1300","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.1400","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.1500","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.1600","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5000","P_Label1","0.1700","TEST","           1","0.6667","0.5000","0.5556","0","0","1","10","0","0","0.5000","1","2","1","0","0","10","Label","           2"
"0.5500","P_Label1","0.1800","TEST","           1","0.6897","0.4737","0.5814","0","0","0.9000","9","0.1000","0","0.4500","0.9000","2","1","0.1000","1","10","Label","           2"
"0.5500","P_Label1","0.1900","TEST","           1","0.6897","0.4737","0.5814","0","0","0.9000","9","0.1000","0","0.4500","0.9000","2","1","0.1000","1","10","Label","           2"
"0.5500","P_Label1","0.2000","TEST","           1","0.6897","0.4737","0.5814","0","0","0.9000","9","0.1000","0","0.4500","0.9000","2","1","0.1000","1","10","Label","           2"
"0.5500","P_Label1","0.2100","TEST","           1","0.6897","0.4737","0.5814","0","0","0.9000","9","0.1000","0","0.4500","0.9000","2","1","0.1000","1","10","Label","           2"
"0.5500","P_Label1","0.2200","TEST","           1","0.6897","0.4737","0.5814","0","0","0.9000","9","0.1000","0","0.4500","0.9000","2","1","0.1000","1","10","Label","           2"
