"狀態","預測結果","預測結果 (事件/非事件)","目標","目標 (事件/非事件)","計數","資料角色","百分比","目標名稱","截止來源","截止值"
"CORRECT","           1","Event","           1","Event","9","TEST","90","Label","KS","0.4700"
"CORRECT","           1","Event","           1","Event","9","TEST","90","Label","Default","0.5000"
"CORRECT","           1","Event","           1","Event","63","TRAIN","100","Label","KS","0.4500"
"CORRECT","           1","Event","           1","Event","63","TRAIN","100","Label","Default","0.5000"
"CORRECT","           1","Event","           1","Event","26","VALIDATE","83.8710","Label","KS","0.4400"
"CORRECT","           1","Event","           1","Event","21","VALIDATE","67.7419","Label","Default","0.5000"
"CORRECT","          -1","NEvent","          -1","NEvent","9","TEST","90","Label","KS","0.4700"
"CORRECT","          -1","NEvent","          -1","NEvent","9","TEST","90","Label","Default","0.5000"
"CORRECT","          -1","NEvent","          -1","NEvent","63","TRAIN","100","Label","KS","0.4500"
"CORRECT","          -1","NEvent","          -1","NEvent","63","TRAIN","100","Label","Default","0.5000"
"CORRECT","          -1","NEvent","          -1","NEvent","15","VALIDATE","48.3871","Label","KS","0.4400"
"CORRECT","          -1","NEvent","          -1","NEvent","18","VALIDATE","58.0645","Label","Default","0.5000"
"INCORRECT","          -1","NEvent","           1","Event","1","TEST","10","Label","KS","0.4700"
"INCORRECT","          -1","NEvent","           1","Event","1","TEST","10","Label","Default","0.5000"
"INCORRECT","          -1","NEvent","           1","Event","0","TRAIN","0","Label","KS","0.4500"
"INCORRECT","          -1","NEvent","           1","Event","0","TRAIN","0","Label","Default","0.5000"
"INCORRECT","          -1","NEvent","           1","Event","5","VALIDATE","16.1290","Label","KS","0.4400"
"INCORRECT","          -1","NEvent","           1","Event","10","VALIDATE","32.2581","Label","Default","0.5000"
"INCORRECT","           1","Event","          -1","NEvent","1","TEST","10","Label","KS","0.4700"
"INCORRECT","           1","Event","          -1","NEvent","1","TEST","10","Label","Default","0.5000"
"INCORRECT","           1","Event","          -1","NEvent","0","TRAIN","0","Label","KS","0.4500"
"INCORRECT","           1","Event","          -1","NEvent","0","TRAIN","0","Label","Default","0.5000"
"INCORRECT","           1","Event","          -1","NEvent","16","VALIDATE","51.6129","Label","KS","0.4400"
"INCORRECT","           1","Event","          -1","NEvent","13","VALIDATE","41.9355","Label","Default","0.5000"
